Year,Country,GDP,GDP per capita,Population,Government expenditure on education,Expenditure on tertiary education,"School enrollment, tertiary",Continent
2019,Switzerland,7.21369E+11,84121.93103,8575280.0,15.64546299,..,66.30934143,Europe
2019,Syrian Arab Republic,22583045053,1123.632353,20098251.0,..,..,..,Asia
2019,Tajikistan,8300813599,889.0233407,9337003.0,..,..,..,Asia
2019,Tanzania,61026731926,1050.931763,59872579.0,14.29199982,..,3.024230003,Africa
2019,Timor-Leste,2027034000,1583.078603,1280438.0,6.869999886,..,..,Asia
2019,Togo,6992700101,848.310125,8243094.0,19.23500061,..,13.32341957,Africa
2019,Tonga,512053692.1,4878.978686,104951.0,12.99600029,..,..,Oceania
2019,Trinidad and Tobago,23775754305,15642.40672,1519955.0,10.34200001,..,..,North America
2019,Tunisia,41905540184,3477.836181,12049314.0,..,..,31.82082939,Africa
2019,Turkmenistan,45232857143,7344.880204,6158420.0,23.01025009,..,12.97550011,Asia
2019,Turks and Caicos Islands,1177285212,27327.88328,43080.0,9.615440369,..,11.76000023,North America
2019,Tuvalu,54123198.57,4940.050983,10956.0,..,..,..,Oceania
2019,Uganda,35348155095,823.0247329,42949080.0,8.897000313,..,..,Africa
2019,Ukraine,1.53883E+11,3661.457764,44474512.0,14.55809975,..,84.48136139,Europe
2019,Uruguay,62222387929,18149.05629,3428409.0,15.18854046,..,61.96443176,South America
2019,Uzbekistan,60283503705,1795.201768,33580350.0,25.59158516,..,12.77099991,Asia
2019,Vanuatu,936526267.6,3076.589886,304404.0,4.455299854,..,..,Oceania
2019,"Venezuela, RB",..,..,28971683.0,..,..,..,South America
2019,Viet Nam,3.34365E+11,3491.09141,95776716.0,15.57199955,..,28.5069294,Asia
2019,Virgin Islands (U.S.),4121000000,38633.52989,106669.0,..,..,..,North America
2019,West Bank and Gaza,17133500000,3656.858271,4685306.0,..,..,45.3549118,Asia
2019,"Yemen, Rep.",..,693.8165076,31546691.0,..,..,..,Asia
2019,Zambia,23308667781,1268.120941,18380477.0,15.29199982,..,..,Africa
2019,Zimbabwe,21832234926,1421.868596,15354608.0,..,..,9.99600029,Africa
2020,China,1.46877E+13,10408.71955,1411100000.0,10.53292751,..,62.23677826,Asia
2020,India,2.67485E+12,1915.551588,1396387127.0,14.71899986,..,29.81999969,Asia
2020,Indonesia,1.05905E+12,3895.618152,271857970.0,17.94368362,..,38.65000153,Asia
2020,"Korea, Rep.",1.64431E+12,31721.29891,51836239.0,12.83170986,..,96.87677002,Asia
2020,Saudi Arabia,7.34271E+11,20398.06143,35997107.0,..,..,74.78057098,Asia
2020,Turkiye,7.20338E+11,8638.739133,83384680.0,9.311233521,..,118.8836823,Asia
2020,United Kingdom,2.69781E+12,40217.00901,67081234.0,10.72942924,..,69.98657227,Europe
2020,United States,2.1323E+13,64317.39891,331526933.0,12.65421581,..,87.56765747,North America
2020,Brunei Darussalam,12005799654,27179.35289,441725.0,..,..,32.69832993,Asia
2020,Israel,4.13268E+11,44846.7916,9215100.0,15.68691826,..,56.42721939,Asia
2020,Kuwait,1.07513E+11,24656.43371,4360444.0,..,..,53.7298584,Asia
2020,Monaco,6739645416,182537.3874,36922.0,..,..,..,Europe
